symbol,lstm_trained,transformed_included
PFE,False,True
LINK-USD,True,True
AAPL,False,True
UNI-USD,True,True
MATIC-USD,False,True
NFLX,False,True
AVGO,False,True
DOT-USD,True,True
CSCO,False,True
AMZN,False,True
PG,False,True
HD,False,True
DOGE-USD,True,True
UNH,False,True
V,False,True
XRP-USD,True,True
META,False,True
LUNA-USD,False,True
SHIB-USD,True,True
ADBE,False,True
TSLA,False,True
JPM,False,True
BTC-USD,True,True
SOL-USD,True,True
AVAX-USD,True,True
GOOGL,False,True
MSFT,False,True
ETH-USD,True,True
NVDA,False,True
CRM,False,True
ADA-USD,False,True
BAC,False,True
